n_samples,dataset,vsa,hv_dim,depth,device,time_per_sample,accuracy,final_flag,cos_sim_mean,cos_sim_std,decoder_settings
100,zinc,HRR,6144,3,cuda,4.892047605141998,0.34,78.0,0.9879607886219478,0.02017419384297523,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,6144,3,cuda,3.006561234854162,0.33,75.0,0.9808286689572523,0.03793208191326163,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,6144,4,cuda,4.895373114310205,0.32,75.0,0.9825827938975407,0.05168789273396228,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,6144,4,cuda,2.7356371037162766,0.29,72.0,0.9543249945745509,0.1707376071449847,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,6144,5,cuda,4.962934383507818,0.29,66.0,0.9874487411924789,0.028067634316920897,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,6144,5,cuda,2.831118610117356,0.28,63.0,0.9501543932559932,0.1850674225414222,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,6144,6,cuda,5.0699231226742265,0.26,67.0,0.9706584664712041,0.12154547127355242,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,6144,6,cuda,2.8050906665661595,0.26,60.0,0.9373749261639196,0.2037662042860326,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7168,3,cuda,4.99318042634055,0.31,82.0,0.9832708056395212,0.03729110728262488,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7168,3,cuda,2.8297094652662054,0.34,80.0,0.9369956833446383,0.19941403497404744,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7168,4,cuda,4.988916833549738,0.33,73.0,0.9863663302728279,0.02998824121077058,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7168,4,cuda,2.8948083564293445,0.3,73.0,0.9523203994842775,0.17043745563497453,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7168,5,cuda,5.090799752715975,0.27,73.0,0.9788696120044251,0.05610061247625339,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7168,5,cuda,2.871416962734356,0.26,65.0,0.9368249627641057,0.1950893450762371,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7168,6,cuda,5.266269443891942,0.34,64.0,0.9764541173913398,0.06076625996060069,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7168,6,cuda,2.9561088895619227,0.28,57.0,0.9002372141178715,0.24942550386428383,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7744,3,cuda,4.9200805372931065,0.32,81.0,0.9912071147453443,0.012708933954129148,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7744,3,cuda,2.870052992075216,0.31,77.0,0.9455542290906425,0.19447445017213433,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7744,4,cuda,4.963763762898743,0.3,71.0,0.9861811258448054,0.046713984571827016,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7744,4,cuda,2.656875922859825,0.28,65.0,0.9212117820660177,0.24032194568833,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7744,5,cuda,5.118605000022799,0.33,73.0,0.9764691346160771,0.091467878959483,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7744,5,cuda,2.6354821747290376,0.29,60.0,0.8900284669966403,0.27610594931097643,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,7744,6,cuda,5.491513670440764,0.25,68.0,0.9694106283935048,0.1006228967044629,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,7744,6,cuda,2.896930167922064,0.22,55.0,0.9169702409370746,0.22982353972317246,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,8192,3,cuda,4.907636428046971,0.28,80.0,0.9873351950249918,0.024655477954434166,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,8192,3,cuda,2.6988979391753674,0.28,72.0,0.924761595174374,0.23503143126286985,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,8192,4,cuda,5.006113052330911,0.31,65.0,0.9836714773986602,0.042492847506298455,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
100,zinc,HRR,8192,4,cuda,2.6703012792314302,0.31,66.0,0.9239754326682621,0.23679678097523987,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': False}"
100,zinc,HRR,8192,5,cuda,5.137740336265415,0.28,67.0,0.9846509340978088,0.042944324933279876,"{'beam_size': 32, 'initial_limit': 1024, 'limit': 512, 'pruning_method': 'cos_sim', 'use_g3_instead_of_h3': None, 'use_one_initial_population': True, 'use_size_aware_pruning': True}"
