dataset,number,obj1_zero_correction_error,state,batch_size,lr,weight_decay,num_flows,hidden_dim,num_hidden_layers,cl_edge_added/removed,cl_edge_added/removed_of_the_level_two_results,cl_edge_added/removed_then_re-decoded,cl_failed_to_correct,cl_not_corrected,decode_time_per_sample_sec,decode_time_sec,exp_dir_name,incorrect_pct,min_val_loss,n_decoded,norm_per,obj0_nll,zero_correction_pct,training_time
ZincSmilesHRR256F645G1NG4,14,99.2,COMPLETE,288,0.0006530062876446,0.0003195475272801,10,2048,2,0.0,0.0,0.0,992.0,8.0,0.0207686395645141,20.76863956451416,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f10_lr0.000653006_wd0.000319548_bs288_hid2048_nhl2_np1_smf7_smi2.5_smw17_an,99.2,-725.832275390625,1000.0,term,-725.832275390625,0.8,
ZincSmilesHRR256F645G1NG4,15,99.9,COMPLETE,352,0.0005596765373152,0.0009999999999999,9,1792,3,0.0,0.0,0.0,999.0,1.0,0.0212360875606536,21.236087560653687,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.000559677_wd0.001_bs352_hid1792_nhl3_np1_smf7_smi2.5_smw17_an,99.9,-517.0968017578125,1000.0,term,-517.0968017578125,0.1,
ZincSmilesHRR256F645G1NG4,16,99.1,COMPLETE,128,0.0005399283156776,0.000203326758206,9,1792,2,0.0,0.0,0.0,991.0,9.0,0.0255373694896698,25.5373694896698,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.000539928_wd0.000203327_bs128_hid1792_nhl2_np1_smf7_smi2.5_smw17_an,99.1,-1054.2667236328125,1000.0,term,-1054.2667236328125,0.9,
ZincSmilesHRR256F645G1NG4,17,99.4,COMPLETE,256,0.0009999999999999,0.0004550098696066,9,1536,2,0.0,0.0,0.0,994.0,6.0,0.0170870556831359,17.087055683135986,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.001_wd0.00045501_bs256_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,99.4,-907.1395263671876,1000.0,term,-907.1395263671876,0.6,
ZincSmilesHRR256F645G1NG4,18,99.9,COMPLETE,256,0.0009844923425294,5.6079545858917694e-05,9,1792,2,0.0,0.0,0.0,999.0,1.0,0.0149947113990783,14.99471139907837,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.000984492_wd5.60795e-5_bs256_hid1792_nhl2_np1_smf7_smi2.5_smw17_an,99.9,-709.7726440429688,1000.0,term,-709.7726440429688,0.1,
ZincSmilesHRR256F645G1NG4,19,99.6,COMPLETE,256,0.0003389204147905,0.0001563913442758,10,1536,2,0.0,0.0,0.0,996.0,4.0,0.0137423956394195,13.742395639419556,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f10_lr0.00033892_wd0.000156391_bs256_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,99.6,-711.6151123046875,1000.0,term,-711.6151123046875,0.4,
ZincSmilesHRR256F645G1NG4,20,99.9,COMPLETE,256,0.0006896172410283,0.0001767055416328,10,1536,3,0.0,0.0,0.0,999.0,1.0,0.0141795668601989,14.179566860198976,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f10_lr0.000689617_wd0.000176706_bs256_hid1536_nhl3_np1_smf7_smi2.5_smw17_an,99.9,-565.9854125976562,1000.0,term,-565.9854125976562,0.1,
ZincSmilesHRR256F645G1NG4,21,99.7,COMPLETE,192,0.0009281605709997,0.0001869579535792,10,2048,2,0.0,0.0,0.0,997.0,3.0,0.0163941116333007,16.39411163330078,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f10_lr0.000928161_wd0.000186958_bs192_hid2048_nhl2_np1_smf7_smi2.5_smw17_an,99.7,-798.240966796875,1000.0,term,-798.240966796875,0.3,
ZincSmilesHRR256F645G1NG4,22,98.1,COMPLETE,224,0.0005614836684595,0.0004397442992718,7,2048,2,0.0,0.0,0.0,981.0,19.0,0.0169095885753631,16.90958857536316,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f7_lr0.000561484_wd0.000439744_bs224_hid2048_nhl2_np1_smf7_smi2.5_smw17_an,98.1,-1171.7174072265625,1000.0,term,-1171.7174072265625,1.9,
ZincSmilesHRR256F645G1NG4,23,99.7,COMPLETE,288,0.0005636126158248,0.0004008587177924,7,2048,2,0.0,0.0,0.0,997.0,3.0,0.0138318383693695,13.831838369369509,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f7_lr0.000563613_wd0.000400859_bs288_hid2048_nhl2_np1_smf7_smi2.5_smw17_an,99.7,-677.7099609375,1000.0,term,-677.7099609375,0.3,
ZincSmilesHRR256F645G1NG4,24,99.7,COMPLETE,448,0.0005843311702823,0.0005452384464002,10,1024,2,0.0,0.0,0.0,997.0,3.0,0.0226723663806915,22.67236638069153,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f10_lr0.000584331_wd0.000545238_bs448_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,99.7,-776.1788330078125,1000.0,term,-776.1788330078125,0.3,
ZincSmilesHRR256F645G1NG4,25,99.9,COMPLETE,288,0.0006044657221679,0.0003481394516119,11,1024,2,0.0,0.0,0.0,999.0,1.0,0.0155236277580261,15.523627758026125,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f11_lr0.000604466_wd0.000348139_bs288_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,99.9,-728.9735107421875,1000.0,term,-728.9735107421875,0.1,
ZincSmilesHRR256F645G1NG4,26,98.4,COMPLETE,288,0.0006111026763641,0.0003449226922943,10,1024,2,0.0,0.0,0.0,984.0,16.0,0.0249252479076385,24.92524790763855,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f10_lr0.000611103_wd0.000344923_bs288_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,98.4,-1183.41650390625,1000.0,term,-1183.41650390625,1.6,
ZincSmilesHRR256F645G1NG4,27,99.5,COMPLETE,192,0.0007300996116148,0.0009999999999999,8,1024,2,0.0,0.0,0.0,995.0,5.0,0.0182460794448852,18.24607944488525,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.0007301_wd0.001_bs192_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,99.5,-973.454833984375,1000.0,term,-973.454833984375,0.5,
ZincSmilesHRR256F645G1NG4,28,99.3,COMPLETE,32,0.0005467996044635,0.0005329095405564,9,1280,2,0.0,0.0,0.0,993.0,7.0,0.0261612868309021,26.1612868309021,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.0005468_wd0.00053291_bs32_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.3,-948.491943359375,1000.0,term,-948.491943359375,0.7,
ZincSmilesHRR256F645G1NG4,29,98.5,COMPLETE,96,0.0005220465099082,0.0009999999999999,8,1536,2,0.0,0.0,0.0,985.0,15.0,0.0171168210506439,17.11682105064392,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000522047_wd0.001_bs96_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,98.5,-1079.5654296875,1000.0,term,-1079.5654296875,1.5,
ZincSmilesHRR256F645G1NG4,30,99.7,COMPLETE,32,0.0005007269504223,0.0009931468995059,8,1792,2,0.0,0.0,0.0,997.0,3.0,0.0170733346939086,17.07333469390869,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000500727_wd0.000993147_bs32_hid1792_nhl2_np1_smf7_smi2.5_smw17_an,99.7,-846.6002197265625,1000.0,term,-846.6002197265625,0.3,
ZincSmilesHRR256F645G1NG4,31,98.7,COMPLETE,192,0.0005151552726007,0.0007980656801505,8,1280,2,0.0,0.0,0.0,987.0,13.0,0.0250898101329803,25.089810132980347,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000515155_wd0.000798066_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.7,-1136.7020263671875,1000.0,term,-1136.7020263671875,1.3,
ZincSmilesHRR256F645G1NG4,32,99.0,COMPLETE,160,0.0005083880969857,0.0006713897361476,8,1024,2,0.0,0.0,0.0,990.0,10.0,0.0174426577091217,17.442657709121704,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000508388_wd0.00067139_bs160_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,99.0,-1000.752197265625,1000.0,term,-1000.752197265625,1.0,
ZincSmilesHRR256F645G1NG4,33,99.8,COMPLETE,64,0.0005068726157801,0.0008028332142127,8,1280,2,0.0,0.0,0.0,998.0,2.0,0.0175966818332672,17.596681833267212,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000506873_wd0.000802833_bs64_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.8,-914.8615112304688,1000.0,term,-914.8615112304688,0.2,
ZincSmilesHRR256F645G1NG4,34,99.3,COMPLETE,32,0.0005277988626272,0.0007894775319803,9,1280,2,0.0,0.0,0.0,993.0,7.0,0.017499529838562,17.49952983856201,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.000527799_wd0.000789478_bs32_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.3,-867.9070434570312,1000.0,term,-867.9070434570312,0.7,
ZincSmilesHRR256F645G1NG4,35,98.7,COMPLETE,128,0.000518190220852,0.0008828941152318,8,1280,2,0.0,0.0,0.0,987.0,13.0,0.0246592304706573,24.65923047065735,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.00051819_wd0.000882894_bs128_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,98.7,-1017.9671020507812,1000.0,term,-1017.9671020507812,1.3,
ZincSmilesHRR256F645G1NG4,36,99.5,COMPLETE,224,0.0005391186270232,0.0009999999999999,8,1536,2,0.0,0.0,0.0,995.0,5.0,0.0174605917930603,17.460591793060303,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000539119_wd0.001_bs224_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,99.5,-1029.455322265625,1000.0,term,-1029.455322265625,0.5,
ZincSmilesHRR256F645G1NG4,37,97.2,COMPLETE,224,0.0005390456179571,0.0009999999999999,8,1536,2,0.0,0.0,0.0,972.0,28.0,0.0247411115169525,24.741111516952515,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000539046_wd0.001_bs224_hid1536_nhl2_np1_smf7_smi2.5_smw17_an,97.2,-1190.736328125,1000.0,term,-1190.736328125,2.8,
ZincSmilesHRR256F645G1NG4,38,99.3,COMPLETE,192,0.0005288490595293,0.0008620498189197,9,1280,2,0.0,0.0,0.0,993.0,7.0,0.0172944979667663,17.294497966766357,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.000528849_wd0.00086205_bs192_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.3,-1066.6729736328125,1000.0,term,-1066.6729736328125,0.7,
ZincSmilesHRR256F645G1NG4,39,99.8,COMPLETE,224,0.0005349695084213,0.000851664618064,9,1280,2,0.0,0.0,0.0,998.0,2.0,0.0147905142307281,14.79051423072815,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f9_lr0.00053497_wd0.000851665_bs224_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.8,-664.7366333007812,1000.0,term,-664.7366333007812,0.2,
ZincSmilesHRR256F645G1NG4,40,99.1,COMPLETE,192,0.0005232174038788,0.0005644418974317,7,768,2,0.0,0.0,0.0,991.0,9.0,0.0177640078067779,17.764007806777954,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f7_lr0.000523217_wd0.000564442_bs192_hid768_nhl2_np1_smf7_smi2.5_smw17_an,99.1,-1086.5428466796875,1000.0,term,-1086.5428466796875,0.9,
ZincSmilesHRR256F645G1NG4,41,99.5,COMPLETE,224,0.0005306144878132,0.0009712482622127,7,1280,2,0.0,0.0,0.0,995.0,5.0,0.0215543038845062,21.554303884506226,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f7_lr0.000530614_wd0.000971248_bs224_hid1280_nhl2_np1_smf7_smi2.5_smw17_an,99.5,-749.3154296875,1000.0,term,-749.3154296875,0.5,
ZincSmilesHRR256F645G1NG4,42,98.6,COMPLETE,192,0.0005348468589027,0.0006362816423425,8,1024,2,0.0,0.0,0.0,986.0,14.0,0.0248063194751739,24.80631947517395,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000534847_wd0.000636282_bs192_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,98.6,-1006.6415405273438,1000.0,term,-1006.6415405273438,1.4,
ZincSmilesHRR256F645G1NG4,43,99.1,COMPLETE,192,0.0005296865017529,0.0005934662917908,8,768,2,0.0,0.0,0.0,991.0,9.0,0.0176929786205291,17.692978620529175,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000529687_wd0.000593466_bs192_hid768_nhl2_np1_smf7_smi2.5_smw17_an,99.1,-1087.30859375,1000.0,term,-1087.30859375,0.9,
ZincSmilesHRR256F645G1NG4,44,99.0,COMPLETE,192,0.0005309533215558,0.0005873624283917,8,768,2,0.0,0.0,0.0,990.0,10.0,0.02542848944664,25.42848944664001,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000530953_wd0.000587362_bs192_hid768_nhl2_np1_smf7_smi2.5_smw17_an,99.0,-1093.3153076171875,1000.0,term,-1093.3153076171875,1.0,
ZincSmilesHRR256F645G1NG4,45,99.6,COMPLETE,160,0.0005256866500176,0.0005647082372578,8,512,2,0.0,0.0,0.0,996.0,4.0,0.0175044524669647,17.50445246696472,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000525687_wd0.000564708_bs160_hid512_nhl2_np1_smf7_smi2.5_smw17_an,99.6,-894.8515625,1000.0,term,-894.8515625,0.4,
ZincSmilesHRR256F645G1NG4,46,99.6,COMPLETE,160,0.0005215510245785,0.0005484846690317,8,512,2,0.0,0.0,0.0,996.0,4.0,0.0242609436511993,24.26094365119934,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000521551_wd0.000548485_bs160_hid512_nhl2_np1_smf7_smi2.5_smw17_an,99.6,-901.781982421875,1000.0,term,-901.781982421875,0.4,
ZincSmilesHRR256F645G1NG4,47,98.9,COMPLETE,192,0.0005245771410709,0.000586254201589,8,1024,2,0.0,0.0,0.0,989.0,11.0,0.0177896628379821,17.789662837982178,nvp_v3_comp_ZincSmilesHRR256F645G1NG4_f8_lr0.000524577_wd0.000586254_bs192_hid1024_nhl2_np1_smf7_smi2.5_smw17_an,98.9,-1020.7681884765624,1000.0,term,-1020.7681884765624,1.1,
